Source,Type,Target,Frequency,Architecture,Step,Step scope,Configuration,main,Baseline,MUL,tool,flow,Pipeline,Fmax,LUT_count,LUT_percent,Reg_count,Reg_percent,LUT+Reg_count,BRAM_count,BRAM_percent,DSP_count,DSP_percent,Static_Power,Dynamic_Power,Total_Power,Worst_Slack,Timestamp,_step_index,_last_step
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_E+MUL_Basic,AsteRISC,E,Basic,vivado,standard,,69.0,2493,3.93,1079,0.85,3572,32,23.7,0,0.0,0.093,0.008,0.101,0.199,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_E+MUL_Fast,AsteRISC,E,Fast,vivado,standard,,73.0,2300,3.63,1081,0.85,3381,32,23.7,1,0.42,0.093,0.009,0.102,0.219,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_E+MUL_Off,AsteRISC,E,Off,vivado,standard,,75.0,1779,2.81,940,0.74,2719,32,23.7,0,0.0,0.093,0.008,0.101,0.178,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_E+MUL_Single_cycle,AsteRISC,E,Single_cycle,vivado,standard,,66.0,2290,3.61,1080,0.85,3370,32,23.7,4,1.67,0.093,0.007,0.1,0.538,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_I+MUL_Basic,AsteRISC,I,Basic,vivado,standard,,70.0,2513,3.96,1079,0.85,3592,32,23.7,0,0.0,0.093,0.008,0.101,0.012,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_I+MUL_Fast,AsteRISC,I,Fast,vivado,standard,,76.0,2353,3.71,1081,0.85,3434,32,23.7,1,0.42,0.093,0.009,0.102,0.012,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_I+MUL_Off,AsteRISC,I,Off,vivado,standard,,77.0,1805,2.85,940,0.74,2745,32,23.7,0,0.0,0.093,0.008,0.101,0.013,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_I+MUL_Single_cycle,AsteRISC,I,Single_cycle,vivado,standard,,67.0,2294,3.62,1080,0.85,3374,32,23.7,4,1.67,0.093,0.007,0.1,0.149,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1,AsteRISC,,,vivado,standard,P-IF1ID1EX1MA1WB1,81.0,2008,3.17,1296,1.02,3304,32,23.7,0,0.0,0.093,0.011,0.104,0.049,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_E+MUL_Basic,AsteRISC,E,Basic,vivado,standard,P-IF1ID1EX1MA1WB1,74.0,2745,4.33,1504,1.19,4249,32,23.7,0,0.0,0.093,0.011,0.104,0.012,2026-09-10_09-50-41,1.0,True
